COUNTRY;ISO3;WHO_REGION;DATA_SOURCE;DATE_UPDATED;TOTAL_VACCINATIONS;PERSONS_VACCINATED_1PLUS_DOSE;TOTAL_VACCINATIONS_PER100;PERSONS_VACCINATED_1PLUS_DOSE_PER100;PERSONS_LAST_DOSE;PERSONS_LAST_DOSE_PER100;VACCINES_USED;FIRST_VACCINE_DATE;NUMBER_VACCINES_TYPES_USED;PERSONS_BOOSTER_ADD_DOSE;PERSONS_BOOSTER_ADD_DOSE_PER100;
Uruguay;URY;AMRO;REPORTING;29/12/2023;9037498;3010464;260;87;2903186;84;;27/02/2021;;2080961;60;
United States of America;USA;AMRO;REPORTING;29/12/2023;7.12E+08;2.70E+08;215;82;2.31E+08;70;;14/12/2020;;1.18E+08;36;
Uzbekistan;UZB;EURO;REPORTING;23/12/2023;8.39E+07;2.21E+07;251;66;1.85E+07;55;;28/04/2021;;1.64E+07;49;
Saint Vincent and the Grenadines;VCT;AMRO;REPORTING;29/12/2023;73443;37532;66;34;31632;29;;01/02/2021;;4279;4;
Venezuela (Bolivarian Republic of);VEN;AMRO;REPORTING;29/12/2023;3.79E+07;2.22E+07;133;78;1.43E+07;50;;22/02/2021;;651502;2;
British Virgin Islands;VGB;AMRO;REPORTING;29/12/2023;41453;19466;137;64;18261;60;;11/02/2021;;3726;12;
Kosovo (in accordance with UN Security Council resolution 1244 (1999));XKX;EURO;REPORTING;23/12/2023;1836901;904558;102;50;824752;46;;31/03/2021;;105624;6;
Yemen;YEM;EMRO;REPORTING;10/12/2023;1298654;1050202;4;4;807057;3;;20/04/2021;;68925;;
South Africa;ZAF;AFRO;REPORTING;31/12/2023;4.18E+07;2.42E+07;70;41;2.10E+07;35;;17/02/2021;;4410601;7;
Zambia;ZMB;AFRO;REPORTING;31/12/2023;1.36E+07;1.17E+07;74;64;9155551;50;;14/04/2021;;1414619;8;
Zimbabwe;ZWE;AFRO;REPORTING;31/12/2023;1.39E+07;7525882;94;51;5662119;38;;18/02/2021;;2299968;15;
United Arab Emirates;ARE;EMRO;REPORTING;06/07/2022;2.49E+07;9991089;252;100;9792266;99;;;;5138699;52;
Bangladesh;BGD;SEARO;REPORTING;18/10/2023;3.62E+08;1.52E+08;220;92;1.42E+08;86;;27/01/2021;;6.85E+07;42;
Bahrain;BHR;EMRO;REPORTING;21/12/2022;3476633;1241174;204;73;1226796;72;;04/11/2020;;1008663;59;
Brunei Darussalam;BRN;WPRO;REPORTING;30/06/2023;1293100;451149;296;100;446714;100;;03/04/2021;;340466;78;
Bhutan;BTN;SEARO;REPORTING;30/10/2022;2011426;699116;261;91;677669;88;;27/03/2021;;634641;82;
China;CHN;WPRO;REPORTING;20/04/2023;3.52E+09;1.32E+09;239;90;1.28E+09;87;;22/07/2020;;8.34E+08;57;
Cook Islands;COK;WPRO;REPORTING;31/01/2023;40080;15112;228;86;14728;84;;17/05/2021;;10240;58;
Fiji;FJI;WPRO;REPORTING;29/06/2023;1555182;712025;173;79;641194;72;;07/03/2021;;172078;19;
Gibraltar;GIB;;REPORTING;;;;;;;;;;;;;
Greenland;GRL;EURO;REPORTING;;;;;;;;;;;;;
China; Hong Kong SAR;HKG;WPRO;REPORTING;;;;;;;;;;;;
Indonesia;IDN;SEARO;REPORTING;23/11/2023;4.48E+08;2.04E+08;164;75;1.75E+08;64;;13/01/2021;;6.94E+07;25;
India;IND;SEARO;REPORTING;23/11/2023;2.21E+09;1.03E+09;160;74;9.52E+08;69;;16/01/2021;;2.29E+08;17;
Iran (Islamic Republic of);IRN;EMRO;REPORTING;26/11/2023;1.55E+08;6.52E+07;185;78;5.86E+07;70;;09/02/2021;;3.14E+07;37;
Iraq;IRQ;EMRO;REPORTING;02/01/2023;1.96E+07;1.13E+07;49;28;7944775;20;;02/03/2021;;275280;1;
Jordan;JOR;EMRO;REPORTING;21/08/2022;1.01E+07;4821579;99;47;4558313;45;;13/01/2021;;682211;7;
Kiribati;KIR;WPRO;REPORTING;06/02/2023;219980;100900;184;84;81474;68;;26/05/2021;;37606;31;
Republic of Korea;KOR;WPRO;REPORTING;04/09/2023;1.36E+08;4.51E+07;265;88;4.47E+07;87;;26/02/2021;;3.36E+07;66;
Lao People's Democratic Republic;LAO;WPRO;REPORTING;21/05/2023;1.39E+07;6324678;191;87;5691962;78;;25/11/2020;;2451034;34;
Lebanon;LBN;EMRO;REPORTING;22/12/2022;5814699;2740227;85;40;2414223;35;;14/02/2021;;660249;10;
Liechtenstein;LIE;;REPORTING;;71104;26681;;;26346;;;;;18310;;
Sri Lanka;LKA;SEARO;REPORTING;30/10/2022;4.01E+07;1.71E+07;187;80;1.48E+07;69;;29/01/2021;;8220002;38;
China; Macao SAR;MAC;WPRO;REPORTING;;;;;;;;;;;;
Maldives;MDV;SEARO;REPORTING;25/05/2023;951764;399308;176;74;385167;71;;01/02/2021;;167289;31;
Myanmar;MMR;SEARO;REPORTING;21/08/2023;9.35E+07;4.16E+07;172;76;3.59E+07;66;;27/01/2021;;1.60E+07;29;
Mongolia;MNG;WPRO;REPORTING;17/03/2023;5668144;2284018;173;70;2185282;67;;23/02/2021;;1058839;32;
New Caledonia;NCL;WPRO;REPORTING;03/04/2023;480497;192371;168;67;184801;65;;20/01/2021;;103325;36;
Niue;NIU;WPRO;REPORTING;04/03/2023;4923;1638;304;100;1635;100;;08/06/2021;;1225;76;
Nepal;NPL;SEARO;REPORTING;23/11/2023;6.26E+07;2.79E+07;215;96;2.45E+07;84;;27/01/2021;;1.03E+07;35;
Nauru;NRU;WPRO;REPORTING;20/02/2023;32157;13106;297;100;11346;100;;09/04/2021;;7705;71;
New Zealand;NZL;WPRO;REPORTING;21/04/2023;1.23E+07;4259911;254;88;4096278;85;;19/02/2021;;2719283;56;
Oman;OMN;EMRO;REPORTING;25/10/2022;7108547;3279632;139;64;3048826;60;;29/12/2020;;779859;15;
Pakistan;PAK;EMRO;REPORTING;14/11/2023;3.41E+08;1.66E+08;154;75;1.40E+08;64;;03/02/2021;;5.32E+07;24;
Philippines;PHL;WPRO;REPORTING;19/03/2023;1.89E+08;8.27E+07;173;75;7.84E+07;72;;01/03/2021;;2.38E+07;22;
Palau;PLW;WPRO;REPORTING;10/03/2023;51032;20295;282;100;18278;100;;03/01/2021;;12885;71;
occupied Palestinian territory; including east Jerusalem;PSE;EMRO;REPORTING;18/10/2022;3748571;2012767;73;39;1776973;35;;02/02/2021;;336967;7
French Polynesia;PYF;WPRO;REPORTING;17/07/2023;493692;195688;176;70;195688;70;;18/01/2021;;102317;36;
Qatar;QAT;EMRO;REPORTING;07/05/2023;7609178;2852178;264;99;2852178;99;;;;1904822;66;
Saudi Arabia;SAU;EMRO;REPORTING;25/04/2023;6.85E+07;2.70E+07;197;78;2.54E+07;73;;06/01/2021;;1.61E+07;46;
Singapore;SGP;WPRO;REPORTING;29/08/2023;1.53E+07;5287005;262;90;5248693;90;;30/12/2020;;4769158;82;
Saint Helena;SHN;;REPORTING;;;;;;;;;;;;;
Solomon Islands;SLB;WPRO;REPORTING;04/07/2023;612700;335796;89;49;254016;37;;23/03/2021;;27896;4;
Syrian Arab Republic;SYR;EMRO;REPORTING;18/04/2023;5090630;3295630;29;19;2358365;13;;01/04/2021;;75881;;
Thailand;THA;SEARO;REPORTING;01/09/2023;1.43E+08;5.77E+07;204;83;5.42E+07;78;;28/02/2021;;3.21E+07;46;
Tokelau;TKL;WPRO;REPORTING;05/12/2022;6342;2203;470;100;2203;100;;20/07/2021;;968;72;
Timor-Leste;TLS;SEARO;REPORTING;22/11/2023;2028798;886838;154;67;801759;61;;07/04/2021;;340201;26;
Tonga;TON;WPRO;REPORTING;30/06/2023;204737;87375;194;83;77390;73;;14/04/2021;;38588;37;
Tuvalu;TUV;WPRO;REPORTING;01/02/2023;26783;9763;227;83;9505;81;;13/04/2021;;5745;49;
Taiwan; China;TWN;;REPORTING;;;;;;;;;;;;
Viet Nam;VNM;WPRO;REPORTING;30/06/2023;2.66E+08;9.05E+07;274;93;8.60E+07;88;;08/03/2021;;5.80E+07;60;
Vanuatu;VUT;WPRO;REPORTING;20/02/2023;355430;176624;116;58;162250;53;;02/06/2021;;16556;5;
Wallis and Futuna;WLF;WPRO;REPORTING;23/01/2023;17303;7150;154;64;6803;60;;19/03/2021;;3350;30;
Samoa;WSM;WPRO;REPORTING;24/02/2023;453130;191403;228;96;177954;90;;18/04/2021;;82268;41;
